Date,Sales,Month,Day,DayOfWeek,WeekOfYear,IsWeekend,Sales_Lag_1,Sales_Lag_7,Sales_Lag_14,Sales_Lag_30,Rolling_Mean_7,Rolling_Mean_30
2014-09-28,490.29200000000003,9,28,6,39,1,773.4399999999999,2679.652,5023.716,832.3225,2486.1654000000003,1918.9804100000001
2014-09-29,8109.070000000001,9,29,0,40,0,490.29200000000003,1240.266,133.436,121.24,2173.3996857142856,1907.5793933333334
2014-09-30,987.532,9,30,1,40,0,8109.070000000001,10662.337000000001,33.552,92.52,3154.6574,2173.8403933333334
2014-10-01,54.83,10,1,2,40,0,987.532,211.96,820.523,40.544,1772.5423999999998,2203.674126666667
2014-10-02,0.0,10,2,3,40,0,54.83,354.8888,0.0,0.0,1750.095257142857,2204.1503266666673
2014-10-03,741.956,10,3,4,40,0,0.0,1480.614,9338.637,0.0,1699.396857142857,2204.1503266666673
2014-10-04,0.0,10,4,5,40,1,741.956,773.4399999999999,5335.968000000001,0.0,1593.8742857142856,2228.8821933333334
2014-10-05,2343.799,10,5,6,40,1,0.0,490.29200000000003,2679.652,394.48,1483.382857142857,2228.8821933333334
2014-10-06,491.55,10,6,0,41,0,2343.799,8109.070000000001,1240.266,5463.008,1748.1695714285713,2293.859493333333
2014-10-07,0.0,10,7,1,41,0,491.55,987.532,10662.337000000001,265.521,659.9524285714284,2128.144226666667
2014-10-08,0.0,10,8,2,41,0,0.0,54.83,211.96,3605.685,518.8764285714284,2119.293526666667
2014-10-09,1855.228,10,9,3,41,0,0.0,0.0,354.8888,4043.5879999999997,511.0435714285712,1999.1040266666669
2014-10-10,2049.386,10,10,4,41,0,1855.228,741.956,1480.614,249.36,776.0761428571426,1926.1586933333335
2014-10-11,2002.556,10,11,5,41,1,2049.386,0.0,773.4399999999999,1574.094,962.8518571428568,1986.15956
2014-10-12,573.336,10,12,6,41,1,2002.556,2343.799,490.29200000000003,1522.6520000000003,1248.9312857142854,2000.441626666667
2014-10-13,2212.182,10,13,0,42,0,573.336,491.55,8109.070000000001,1275.408,996.0079999999997,1968.7977600000002
2014-10-14,4525.484,10,14,1,42,0,2212.182,0.0,987.532,5023.716,1241.8125714285711,2000.02356
2014-10-15,206.72400000000002,10,15,2,42,0,4525.484,0.0,54.83,133.436,1888.3102857142856,1983.4158266666666
2014-10-16,194.322,10,16,3,42,0,206.72400000000002,1855.228,0.0,33.552,1917.8422857142853,1985.85876
2014-10-17,136.06799999999998,10,17,4,42,0,194.322,2049.386,741.956,820.523,1680.5699999999997,1991.21776
2014-10-18,3134.916,10,18,5,42,1,136.06799999999998,2002.556,0.0,0.0,1407.238857142857,1968.4025933333332
2014-10-19,641.104,10,19,6,42,1,3134.916,573.336,2343.799,9338.637,1569.0045714285711,2072.8997933333335
2014-10-20,1501.104,10,20,0,43,0,641.104,2212.182,491.55,5335.968000000001,1578.685714285714,1782.982026666667
2014-10-21,1356.602,10,21,1,43,0,1501.104,4525.484,0.0,2679.652,1477.1031428571425,1655.1532266666668
2014-10-22,223.808,10,22,2,43,0,1356.602,206.72400000000002,0.0,1240.266,1024.405714285714,1611.05156
2014-10-23,0.0,10,23,3,43,0,223.808,194.322,1855.228,10662.337000000001,1026.8462857142854,1577.1696266666665
2014-10-24,56.489999999999995,10,24,4,43,0,0.0,136.06799999999998,2049.386,211.96,999.0859999999997,1221.7583933333333
2014-10-25,103.882,10,25,5,43,1,56.489999999999995,3134.916,2002.556,354.8888,987.7177142857141,1216.57606
2014-10-26,447.88,10,26,6,43,1,103.882,641.104,573.336,1480.614,554.7128571428569,1208.2091666666668
2014-10-27,22.32,10,27,0,44,0,447.88,1501.104,2212.182,773.4399999999999,527.1094285714283,1173.7847
2014-10-28,1510.582,10,28,1,44,0,22.32,1356.602,4525.484,490.29200000000003,315.85457142857115,1148.7473666666665
2014-10-29,2813.8120000000004,10,29,2,44,0,1510.582,223.808,206.72400000000002,8109.070000000001,337.8517142857141,1182.7570333333335
2014-10-30,0.0,10,30,3,44,0,2813.8120000000004,0.0,194.322,987.532,707.8522857142855,1006.2484333333334
2014-10-31,5362.026,10,31,4,44,0,0.0,56.489999999999995,136.06799999999998,54.83,707.8522857142855,973.3307000000001
2014-11-01,9.94,11,1,5,44,1,5362.026,103.882,3134.916,0.0,1465.7859999999998,1150.2372333333333
2014-11-02,2043.4,11,2,6,44,1,9.94,447.88,641.104,741.956,1452.3657142857141,1150.5685666666666
2014-11-03,918.3140000000001,11,3,0,45,0,2043.4,22.32,1501.104,0.0,1680.2971428571425,1193.9500333333335
2014-11-04,1915.24,11,4,1,45,0,918.3140000000001,1510.582,1356.602,2343.799,1808.2962857142854,1224.5605
2014-11-05,1642.802,11,5,2,45,0,1915.24,2813.8120000000004,223.808,491.55,1866.1045714285713,1210.2752
2014-11-06,0.0,11,6,3,45,0,1642.802,0.0,0.0,0.0,1698.8174285714283,1248.6502666666668
2014-11-07,2187.206,11,7,4,45,0,0.0,5362.026,56.489999999999995,0.0,1698.8174285714283,1248.6502666666668
2014-11-08,451.62,11,8,5,45,1,2187.206,9.94,103.882,1855.228,1245.271714285714,1321.5571333333332
2014-11-09,127.95,11,9,6,45,1,451.62,2043.4,447.88,2049.386,1308.368857142857,1274.7702000000002
2014-11-10,1381.164,11,10,0,46,0,127.95,918.3140000000001,22.32,2002.556,1034.7331428571426,1210.7223333333334
2014-11-11,8114.548,11,11,1,46,0,1381.164,1915.24,1510.582,573.336,1100.8545714285713,1190.0092666666667
2014-11-12,0.0,11,12,2,46,0,8114.548,1642.802,2813.8120000000004,2212.182,1986.4699999999996,1441.383
2014-11-13,0.0,11,13,3,46,0,0.0,0.0,0.0,4525.484,1751.7839999999997,1367.6436
2014-11-14,1034.73,11,14,4,46,0,0.0,2187.206,5362.026,206.72400000000002,1751.7839999999997,1216.7941333333333
2014-11-15,1780.822,11,15,5,46,1,1034.73,451.62,9.94,194.322,1587.144571428571,1244.3943333333334
2014-11-16,1355.9285,11,16,6,46,1,1780.822,127.95,2043.4,136.06799999999998,1777.030571428571,1297.2776666666666
2014-11-17,11544.274,11,17,0,47,0,1355.9285,1381.164,918.3140000000001,3134.916,1952.456071428571,1337.9396833333333
2014-11-18,3406.855,11,18,1,47,0,11544.274,8114.548,1915.24,641.104,3404.328928571428,1618.251616666667
2014-11-19,7226.086,11,19,2,47,0,3406.855,0.0,1642.802,1501.104,2731.801357142857,1710.4433166666668
2014-11-20,907.5600000000001,11,20,3,47,0,7226.086,0.0,0.0,1356.602,3764.0993571428567,1901.2760500000002
2014-11-21,1249.622,11,21,4,47,0,907.5600000000001,1034.73,2187.206,223.808,3893.7507857142855,1886.3079833333331
2014-11-22,1103.298,11,22,5,47,1,1249.622,1780.822,451.62,0.0,3924.449642857143,1920.5017833333334
2014-11-23,1363.28,11,23,6,47,1,1103.298,1355.9285,127.95,56.489999999999995,3827.6604999999995,1957.2783833333333
2014-11-24,5578.606,11,24,0,48,0,1363.28,11544.274,1381.164,103.882,3828.710714285714,2000.8380499999998
2014-11-25,4415.695000000001,11,25,1,48,0,5578.606,3406.855,8114.548,447.88,2976.4724285714287,2183.32885
2014-11-26,1705.99,11,26,2,48,0,4415.695000000001,7226.086,0.0,22.32,3120.5924285714286,2315.58935
2014-11-27,203.66,11,27,3,48,0,1705.99,907.5600000000001,0.0,1510.582,2332.0072857142854,2371.7116833333334
2014-11-28,2280.83,11,28,4,48,0,203.66,1249.622,1034.73,2813.8120000000004,2231.450142857143,2328.1476166666666
2014-11-29,649.044,11,29,5,48,1,2280.83,1103.298,1780.822,0.0,2378.765571428571,2310.38155
2014-11-30,219.154,11,30,6,48,1,649.044,1363.28,1355.9285,5362.026,2313.872142857143,2332.01635
2014-12-01,0.0,12,1,0,49,0,219.154,5578.606,11544.274,9.94,2150.4255714285714,2160.5872833333333
2014-12-02,129.568,12,2,1,49,0,0.0,4415.695000000001,3406.855,2043.4,1353.481857142857,2160.25595
2014-12-03,0.0,12,3,2,49,0,129.568,1705.99,7226.086,918.3140000000001,741.1779999999998,2096.46155
2014-12-04,1912.123,12,4,3,49,0,0.0,203.66,907.5600000000001,1915.24,497.46514285714267,2065.8510833333335
2014-12-05,734.846,12,5,4,49,0,1912.123,2280.83,1249.622,1642.802,741.5312857142854,2065.7471833333334
2014-12-06,0.0,12,6,5,49,1,734.846,649.044,1103.298,0.0,520.6764285714283,2035.4819833333333
2014-12-07,1960.012,12,7,6,49,1,0.0,219.154,1363.28,2187.206,427.9558571428569,2035.4819833333333
2014-12-08,1832.38,12,8,0,50,0,1960.012,0.0,5578.606,451.62,676.6498571428568,2027.90885
2014-12-09,4904.66,12,9,1,50,0,1832.38,129.568,4415.695000000001,127.95,938.4184285714283,2073.9341833333333
2014-12-10,58.53,12,10,2,50,0,4904.66,0.0,1705.99,1381.164,1620.5744285714281,2233.15785
2014-12-11,1054.7612,12,11,3,50,0,58.53,1912.123,203.66,8114.548,1628.9358571428568,2189.07005
2014-12-12,4938.4045,12,12,4,50,0,1054.7612,734.846,2280.83,0.0,1506.4555999999998,1953.7438233333335
2014-12-13,293.152,12,13,5,50,1,4938.4045,0.0,649.044,0.0,2106.963957142857,2118.357306666667
2014-12-14,7641.658,12,14,6,50,1,293.152,1960.012,219.154,1034.73,2148.8428142857138,2128.1290400000003
2014-12-15,1264.4660000000001,12,15,0,51,0,7641.658,1832.38,0.0,1780.822,2960.5065285714286,2348.359973333333
2014-12-16,4394.187,12,16,1,51,0,1264.4660000000001,4904.66,129.568,1355.9285,2879.375957142857,2331.1481066666665
2014-12-17,45.534,12,17,2,51,0,4394.187,58.53,0.0,11544.274,2806.4512428571425,2432.4233900000004
2014-12-18,0.0,12,18,3,51,0,45.534,1054.7612,1912.123,3406.855,2804.594671428571,2049.132056666667
2014-12-19,3436.7599999999998,12,19,4,51,0,0.0,4938.4045,734.846,7226.086,2653.9144999999994,1935.5702233333334
2014-12-20,6962.4400000000005,12,20,5,51,1,3436.7599999999998,293.152,0.0,907.5600000000001,2439.3938571428566,1809.2593566666665
2014-12-21,1933.44,12,21,6,51,1,6962.4400000000005,7641.658,1960.012,1249.622,3392.149285714286,2011.08869
2014-12-22,798.968,12,22,0,52,0,1933.44,1264.4660000000001,1832.38,1103.298,2576.689571428571,2033.8826233333334
2014-12-23,942.108,12,23,1,52,0,798.968,4394.187,4904.66,1363.28,2510.189857142857,2023.7382900000002
2014-12-24,1950.202,12,24,2,52,0,942.108,45.534,58.53,5578.606,2017.0357142857142,2009.6992233333335
2014-12-25,0.0,12,25,3,52,0,1950.202,0.0,1054.7612,4415.695000000001,2289.1311428571425,1888.7524233333331
2014-12-26,2041.414,12,26,4,52,0,0.0,3436.7599999999998,4938.4045,1705.99,2289.1311428571425,1741.56259
2014-12-27,2966.388,12,27,5,52,1,2041.414,6962.4400000000005,293.152,203.66,2089.796,1752.7433899999999
2014-12-28,3732.2960000000003,12,28,6,52,1,2966.388,1933.44,7641.658,2280.83,1518.9314285714281,1844.8343233333333
2014-12-29,2072.096,12,29,0,1,0,3732.2960000000003,798.968,1264.4660000000001,649.044,1775.9108571428567,1893.2165233333333
2014-12-30,2172.651,12,30,1,1,0,2072.096,942.108,4394.187,219.154,1957.7862857142857,1940.6515900000002
2014-12-31,5253.2699999999995,12,31,2,1,0,2172.651,1950.202,45.534,0.0,2133.5781428571427,2005.7681566666665
2015-01-01,0.0,1,1,3,1,0,5253.2699999999995,0.0,0.0,129.568,2605.4449999999997,2180.8771566666665
2015-01-02,0.0,1,2,4,1,0,0.0,2041.414,3436.7599999999998,0.0,2605.4449999999997,2176.558223333333
2015-01-03,1642.1743999999999,1,3,5,1,1,0.0,2966.388,6962.4400000000005,1912.123,2313.8144285714284,2176.558223333333
2015-01-04,0.0,1,4,6,1,1,1642.1743999999999,3732.2960000000003,1933.44,734.846,2124.641057142857,2167.5599366666665
2015-01-05,450.94,1,5,0,2,0,0.0,2072.096,798.968,0.0,1591.4559142857138,2143.06507
2015-01-06,834.1980000000001,1,6,1,2,0,450.94,2172.651,942.108,1960.012,1359.8621999999996,2158.0964033333335
2015-01-07,0.0,1,7,2,2,0,834.1980000000001,5253.2699999999995,1950.202,1832.38,1168.654628571428,2120.56927
2015-01-08,1011.696,1,8,3,2,0,0.0,0.0,0.0,4904.66,418.1874857142854,2059.489936666667
2015-01-09,2367.564,1,9,4,2,0,1011.696,0.0,2041.414,58.53,562.7154857142855,1929.7244699999999
2015-01-10,1158.414,1,10,5,2,1,2367.564,1642.1743999999999,2966.388,1054.7612,900.9389142857141,2006.69227
2015-01-11,3106.106,1,11,6,2,1,1158.414,0.0,3732.2960000000003,4938.4045,831.8302857142854,2010.1473633333333
2015-01-12,7130.594,1,12,0,3,0,3106.106,450.94,2072.096,293.152,1275.5597142857139,1949.0707466666668
2015-01-13,622.278,1,13,1,3,0,7130.594,834.1980000000001,2172.651,7641.658,2229.796,2176.9854800000003
2015-01-14,0.0,1,14,2,3,0,622.278,0.0,5253.2699999999995,1264.4660000000001,2199.521714285714,1943.0061466666668
2015-01-15,0.0,1,15,3,3,0,0.0,1011.696,0.0,4394.187,2199.521714285714,1900.8572800000002
2015-01-16,0.0,1,16,4,3,0,0.0,2367.564,0.0,45.534,2054.993714285714,1754.38438
2015-01-17,350.384,1,17,5,3,1,0.0,1158.414,1642.1743999999999,0.0,1716.7702857142856,1752.86658
2015-01-18,0.0,1,18,6,3,1,350.384,3106.106,0.0,3436.7599999999998,1601.3374285714285,1764.5460466666666
2015-01-19,301.742,1,19,0,4,0,0.0,7130.594,450.94,6962.4400000000005,1157.6079999999997,1649.98738
2015-01-20,0.0,1,20,1,4,0,301.742,622.278,834.1980000000001,1933.44,182.057714285714,1427.9641133333332
2015-01-21,0.0,1,21,2,4,0,0.0,0.0,0.0,798.968,93.16085714285688,1363.5161133333334
2015-01-22,0.0,1,22,3,4,0,0.0,0.0,1011.696,942.108,93.16085714285688,1336.8838466666666
2015-01-23,43.66,1,23,4,4,0,0.0,0.0,2367.564,1950.202,93.16085714285688,1305.4802466666665
2015-01-24,13.12,1,24,5,4,1,43.66,350.384,1158.414,0.0,99.39799999999975,1241.9288466666667
2015-01-25,0.0,1,25,6,4,1,13.12,0.0,3106.106,2041.414,51.21742857142831,1242.36618
2015-01-26,182.72,1,26,0,5,0,0.0,301.742,7130.594,2966.388,51.21742857142831,1174.3190466666667
2015-01-27,3573.252,1,27,1,5,0,182.72,0.0,622.278,3732.2960000000003,34.21428571428545,1081.5301133333332
2015-01-28,4297.644,1,28,2,5,0,3573.252,0.0,0.0,2072.096,544.6788571428568,1076.2286466666667
2015-01-29,0.0,1,29,3,5,0,4297.644,0.0,0.0,2172.651,1158.628,1150.4135800000001
2015-01-30,2161.6400000000003,1,30,4,5,0,0.0,43.66,0.0,5253.2699999999995,1158.628,1077.99188
2015-01-31,99.26,1,31,5,5,1,2161.6400000000003,13.12,350.384,0.0,1461.1965714285714,974.9375466666667
2015-02-01,1932.096,2,1,6,5,1,99.26,0.0,0.0,0.0,1473.5022857142853,978.2462133333335
2015-02-02,0.0,2,2,0,6,0,1932.096,182.72,301.742,1642.1743999999999,1749.5159999999998,1042.6494133333335
2015-02-03,899.5699999999999,2,3,1,6,0,0.0,3573.252,0.0,0.0,1723.413142857143,987.9102666666669
2015-02-04,299.21999999999997,2,4,2,6,0,899.5699999999999,4297.644,0.0,450.94,1341.4585714285713,1017.8959333333335
2015-02-05,167.232,2,5,3,6,0,299.21999999999997,0.0,0.0,834.1980000000001,770.2551428571426,1012.8385999999999
2015-02-06,0.0,2,6,4,6,0,167.232,2161.6400000000003,43.66,0.0,794.1454285714283,990.6064
2015-02-07,1631.902,2,7,5,6,1,0.0,99.26,13.12,1011.696,485.33971428571397,990.6064
2015-02-08,1290.4779999999998,2,8,6,6,1,1631.902,1932.096,0.0,2367.564,704.2885714285711,1011.2799333333334
2015-02-09,0.0,2,9,0,7,0,1290.4779999999998,0.0,182.72,1158.414,612.6288571428569,975.3770666666667
2015-02-10,1269.266,2,10,1,7,0,0.0,899.5699999999999,3573.252,3106.106,612.6288571428569,936.7632666666667
2015-02-11,5528.5509999999995,2,11,2,7,0,1269.266,299.21999999999997,4297.644,7130.594,665.4425714285711,875.5352666666666
2015-02-12,0.0,2,12,3,7,0,5528.5509999999995,167.232,0.0,622.278,1412.4898571428566,822.1338333333333
2015-02-13,0.0,2,13,4,7,0,0.0,0.0,2161.6400000000003,0.0,1388.599571428571,801.3912333333334
2015-02-14,1079.962,2,14,5,7,1,0.0,1631.902,99.26,0.0,1388.599571428571,801.3912333333334
2015-02-15,1602.38,2,15,6,7,1,1079.962,1290.4779999999998,1932.096,0.0,1309.7509999999997,837.3899666666667
2015-02-16,160.43,2,16,0,8,0,1602.38,0.0,0.0,350.384,1354.3084285714283,890.8026333333333
2015-02-17,0.0,2,17,1,8,0,160.43,1269.266,899.5699999999999,0.0,1377.2269999999996,884.4708333333333
2015-02-18,105.844,2,18,2,8,0,0.0,5528.5509999999995,299.21999999999997,301.742,1195.9032857142852,884.4708333333333
2015-02-19,0.0,2,19,3,8,0,105.844,0.0,167.232,0.0,421.2308571428569,877.9409
2015-02-20,316.78000000000003,2,20,4,8,0,0.0,0.0,0.0,0.0,421.2308571428569,877.9409
2015-02-21,2591.1,2,21,5,8,1,316.78000000000003,1079.962,1631.902,0.0,466.48514285714265,888.5002333333334
2015-02-22,79.36,2,22,6,8,1,2591.1,1602.38,1290.4779999999998,43.66,682.3619999999997,974.8702333333333
2015-02-23,37.775999999999996,2,23,0,9,0,79.36,160.43,0.0,13.12,464.78771428571406,976.0602333333334
2015-02-24,0.0,2,24,1,9,0,37.775999999999996,0.0,1269.266,0.0,447.26571428571407,976.8821
2015-02-25,25.869999999999997,2,25,2,9,0,0.0,105.844,5528.5509999999995,182.72,447.26571428571407,976.8821
2015-02-26,0.0,2,26,3,9,0,25.869999999999997,0.0,0.0,3573.252,435.84085714285686,971.6537666666667
2015-02-27,1159.271,2,27,4,9,0,0.0,316.78000000000003,0.0,4297.644,435.84085714285686,852.5453666666667
2015-02-28,551.264,2,28,5,9,1,1159.271,2591.1,1079.962,0.0,556.196714285714,747.9329333333334
2015-03-01,1768.2215999999999,3,1,6,9,1,551.264,79.36,1602.38,2161.6400000000003,264.7915714285712,766.3084
2015-03-02,492.836,3,2,0,10,0,1768.2215999999999,37.775999999999996,160.43,99.26,506.0575142857141,753.1944533333334
2015-03-03,0.0,3,3,1,10,0,492.836,0.0,0.0,1932.096,571.0660857142855,766.3136533333333
2015-03-04,0.0,3,4,2,10,0,0.0,25.869999999999997,105.844,0.0,571.0660857142855,701.9104533333333
2015-03-05,2198.7599999999998,3,5,3,10,0,0.0,0.0,0.0,899.5699999999999,567.3703714285712,701.9104533333333
2015-03-06,0.0,3,6,4,10,0,2198.7599999999998,1159.271,316.78000000000003,299.21999999999997,881.4789428571427,745.2167866666665
2015-03-07,823.982,3,7,5,10,1,0.0,551.264,2591.1,167.232,715.8687999999996,735.2427866666666
2015-03-08,0.0,3,8,6,10,1,823.982,1768.2215999999999,79.36,0.0,754.828514285714,757.1344533333333
2015-03-09,1874.8980000000001,3,9,0,11,0,0.0,492.836,37.775999999999996,1631.902,502.2254285714283,757.1344533333333
2015-03-10,275.218,3,10,1,11,0,1874.8980000000001,0.0,0.0,1290.4779999999998,699.662857142857,765.2343199999999
2015-03-11,2800.846,3,11,2,11,0,275.218,0.0,25.869999999999997,0.0,738.9797142857141,731.39232
2015-03-12,1972.645,3,12,3,11,0,2800.846,2198.7599999999998,0.0,1269.266,1139.1005714285711,824.7538533333333
2015-03-13,1384.856,3,13,4,11,0,1972.645,0.0,1159.271,5528.5509999999995,1106.7984285714283,848.1998199999999
2015-03-14,707.9000000000001,3,14,5,11,1,1384.856,823.982,551.264,0.0,1304.6349999999998,710.0766533333333
2015-03-15,16.776,3,15,6,11,1,707.9000000000001,0.0,1768.2215999999999,0.0,1288.0518571428568,733.67332
2015-03-16,7230.209999999999,3,16,0,12,0,16.776,1874.8980000000001,492.836,1079.962,1290.4484285714282,734.2325199999999
2015-03-17,48.84,3,17,1,12,0,7230.209999999999,275.218,0.0,1602.38,2055.4929999999995,939.2407866666666
2015-03-18,0.0,3,18,2,12,0,48.84,2800.846,0.0,160.43,2023.1532857142852,887.4561199999999
2015-03-19,5652.9396,3,19,3,12,0,0.0,1972.645,2198.7599999999998,0.0,1623.0324285714282,882.1084533333332
2015-03-20,1548.194,3,20,4,12,0,5652.9396,1384.856,0.0,105.844,2148.7888,1070.5397733333332
2015-03-21,1270.3790000000001,3,21,5,12,1,1548.194,707.9000000000001,823.982,0.0,2172.1227999999996,1118.6181066666666
2015-03-22,2481.424,3,22,6,12,1,1270.3790000000001,16.776,0.0,316.78000000000003,2252.4769428571426,1160.964073333333
2015-03-23,633.302,3,23,0,13,0,2481.424,7230.209999999999,1874.8980000000001,2591.1,2604.569514285714,1233.1188733333333
2015-03-24,412.95,3,24,1,13,0,633.302,48.84,275.218,79.36,1662.1540857142857,1167.8589399999998
2015-03-25,0.0,3,25,2,13,0,412.95,0.0,2800.846,37.775999999999996,1714.1697999999997,1178.9786066666668
2015-03-26,4623.37,3,26,3,13,0,0.0,5652.9396,1972.645,0.0,1714.1697999999997,1177.7194066666668
2015-03-27,83.7,3,27,4,13,0,4623.37,1548.194,1384.856,25.869999999999997,1567.0884285714285,1331.83174
2015-03-28,243.344,3,28,5,13,1,83.7,1270.3790000000001,707.9000000000001,0.0,1357.875,1333.7594066666668
2015-03-29,1559.0800000000002,3,29,6,13,1,243.344,2481.424,16.776,1159.271,1211.155714285714,1341.8708733333333
2015-03-30,571.224,3,30,0,14,0,1559.0800000000002,633.302,7230.209999999999,551.264,1079.3922857142857,1355.19784
2015-03-31,200.716,3,31,1,14,0,571.224,412.95,48.84,1768.2215999999999,1070.524,1355.8631733333336
2015-04-01,264.46000000000004,4,1,2,14,0,200.716,0.0,0.0,492.836,1040.204857142857,1303.6129866666665
2015-04-02,0.0,4,2,3,14,0,264.46000000000004,4623.37,5652.9396,0.0,1077.984857142857,1296.0004533333336
2015-04-03,0.0,4,3,4,14,0,0.0,83.7,1548.194,0.0,417.50342857142834,1296.0004533333336
2015-04-04,1484.5980000000002,4,4,5,14,1,0.0,243.344,1270.3790000000001,2198.7599999999998,405.54628571428555,1296.0004533333336
2015-04-05,1121.362,4,5,6,14,1,1484.5980000000002,1559.0800000000002,2481.424,0.0,582.8682857142855,1272.1950533333334
2015-04-06,1192.31,4,6,0,15,0,1121.362,571.224,633.302,823.982,520.3371428571427,1309.5737866666668
2015-04-07,1138.288,4,7,1,15,0,1192.31,200.716,412.95,0.0,609.063714285714,1321.8513866666665
2015-04-08,0.0,4,8,2,15,0,1138.288,264.46000000000004,0.0,1874.8980000000001,743.0025714285712,1359.79432
2015-04-09,1071.284,4,9,3,15,0,0.0,0.0,4623.37,275.218,705.2225714285712,1297.2977199999998
2015-04-10,505.58,4,10,4,15,0,1071.284,0.0,83.7,2800.846,858.2631428571427,1323.8332533333335
2015-04-11,0.0,4,11,5,15,1,505.58,1484.5980000000002,243.344,1972.645,930.488857142857,1247.3243866666667
2015-04-12,5185.813999999999,4,12,6,15,1,0.0,1121.362,1559.0800000000002,1384.856,718.4034285714284,1181.5695533333335
2015-04-13,3192.678,4,13,0,16,0,5185.813999999999,1192.31,571.224,707.9000000000001,1299.0394285714283,1308.2681533333334
2015-04-14,35.208,4,14,1,16,0,3192.678,1138.288,200.716,16.776,1584.8062857142852,1391.0940866666667
2015-04-15,0.0,4,15,2,16,0,35.208,0.0,264.46000000000004,7230.209999999999,1427.223428571428,1391.7084866666667
2015-04-16,4161.972,4,16,3,16,0,0.0,1071.284,0.0,48.84,1427.223428571428,1150.7014866666666
2015-04-17,2745.106,4,17,4,16,0,4161.972,505.58,0.0,0.0,1868.7502857142852,1287.8058866666665
2015-04-18,2006.9599999999998,4,18,5,16,1,2745.106,0.0,1484.5980000000002,5652.9396,2188.682571428571,1379.30942
2015-04-19,329.96,4,19,6,16,1,2006.9599999999998,5185.813999999999,1121.362,1548.194,2475.3911428571423,1257.7767666666666
2015-04-20,1194.7259999999999,4,20,0,17,0,329.96,3192.678,1192.31,1270.3790000000001,1781.697714285714,1217.1689666666666
2015-04-21,893.09,4,21,1,17,0,1194.7259999999999,35.208,1138.288,2481.424,1496.2759999999998,1214.6472
2015-04-22,152.916,4,22,2,17,0,893.09,0.0,0.0,633.302,1618.8305714285711,1161.702733333333
2015-04-23,0.0,4,23,3,17,0,152.916,4161.972,1071.284,412.95,1640.6757142857139,1145.6898666666668
2015-04-24,25.99,4,24,4,17,0,0.0,2745.106,505.58,0.0,1046.1082857142853,1131.9248666666667
2015-04-25,920.946,4,25,5,17,1,25.99,2006.9599999999998,0.0,4623.37,657.6631428571426,1132.7912
2015-04-26,2090.1055,4,26,6,17,1,920.946,329.96,5185.813999999999,83.7,502.51828571428547,1009.3770666666667
2015-04-27,2719.59,4,27,0,18,0,2090.1055,1194.7259999999999,3192.678,243.344,753.9676428571427,1076.2572499999999
2015-04-28,4044.3619999999996,4,28,1,18,0,2719.59,893.09,35.208,1559.0800000000002,971.805357142857,1158.7987833333332
2015-04-29,7.968,4,29,2,18,0,4044.3619999999996,152.916,0.0,571.224,1421.9870714285712,1241.6415166666666
2015-04-30,1571.695,4,30,3,18,0,7.968,0.0,4161.972,200.716,1401.2802142857142,1222.8663166666665
2015-05-01,295.272,5,1,4,18,0,1571.695,25.99,2745.106,264.46000000000004,1625.8080714285713,1268.5656166666665
2015-05-02,0.0,5,2,5,18,1,295.272,920.946,2006.9599999999998,0.0,1664.2769285714282,1269.592683333333
2015-05-03,1969.267,5,3,6,18,1,0.0,2090.1055,329.96,0.0,1532.7132142857138,1269.592683333333
2015-05-04,2974.058,5,4,0,19,0,1969.267,2719.59,1194.7259999999999,1484.5980000000002,1515.450571428571,1335.2349166666665
2015-05-05,0.0,5,5,1,19,0,2974.058,4044.3619999999996,893.09,1121.362,1551.8031428571426,1384.8835833333333
2015-05-06,1533.1979999999999,5,6,2,19,0,0.0,7.968,152.916,1192.31,974.0371428571426,1347.50485
2015-05-07,121.646,5,7,3,19,0,1533.1979999999999,1571.695,0.0,1138.288,1191.9271428571426,1358.8677833333334
2015-05-08,72.65,5,8,4,19,0,121.646,295.272,25.99,0.0,984.7772857142855,1324.9797166666665
2015-05-09,934.103,5,9,5,19,1,72.65,0.0,920.946,1071.284,952.9741428571425,1327.4013833333333
2015-05-10,851.092,5,10,6,19,1,934.103,1969.267,2090.1055,505.58,1086.4174285714282,1322.8286833333334
2015-05-11,834.874,5,11,0,20,0,851.092,2974.058,2719.59,0.0,926.6781428571425,1334.34575
2015-05-12,897.322,5,12,1,20,0,834.874,0.0,4044.3619999999996,5185.813999999999,621.0804285714283,1362.1748833333331
2015-05-13,238.384,5,13,2,20,0,897.322,1533.1979999999999,7.968,3192.678,749.2692857142855,1219.2251499999998
2015-05-14,3141.1995,5,14,3,20,0,238.384,121.646,1571.695,35.208,564.2958571428569,1120.7486833333335
2015-05-15,69.908,5,15,4,20,0,3141.1995,72.65,295.272,0.0,995.6606428571425,1224.2817333333332
2015-05-16,255.968,5,16,5,20,1,69.908,934.103,0.0,4161.972,995.2689285714284,1226.612
2015-05-17,134.46800000000002,5,17,6,20,1,255.968,851.092,1969.267,2745.106,898.3924999999998,1096.4118666666666
2015-05-18,10.86,5,18,0,21,0,134.46800000000002,834.874,2974.058,2006.9599999999998,796.0176428571427,1009.3906
2015-05-19,0.0,5,19,1,21,0,10.86,897.322,0.0,329.96,678.3013571428568,942.8539333333333
2015-05-20,169.54399999999998,5,20,2,21,0,0.0,238.384,1533.1979999999999,1194.7259999999999,550.1124999999998,931.8552666666667
